14-07-2023 10:50:47 :: Abrindo URL
14-07-2023 10:51:03 :: Iniciando a coleta
14-07-2023 10:51:13 :: ADD - {'position': '93', 'movie': '2001: Uma Odisséia no Espaço', 'year': '1968', 'duration': '2h 29m', 'rating': 'Livre', 'rate': '8.3', 'history_id': 11}
14-07-2023 10:51:13 :: ADD - {'position': '94', 'movie': 'A Caça', 'year': '2012', 'duration': '1h 55m', 'rating': '14', 'rate': '8.3', 'history_id': 11}
14-07-2023 10:51:13 :: ADD - {'position': '95', 'movie': 'Cães de Aluguel', 'year': '1992', 'duration': '1h 39m', 'rating': '18', 'rate': '8.3', 'history_id': 11}
14-07-2023 10:51:13 :: ADD - {'position': '96', 'movie': 'Lawrence da Arábia', 'year': '1962', 'duration': '3h 38m', 'rating': '14', 'rate': '8.3', 'history_id': 11}
14-07-2023 10:51:13 :: ADD - {'position': '97', 'movie': 'Cidadão Kane', 'year': '1941', 'duration': '1h 59m', 'rating': 'Livre', 'rate': '8.3', 'history_id': 11}
14-07-2023 10:51:13 :: ADD - {'position': '98', 'movie': 'Viver', 'year': '1952', 'duration': '2h 23m', 'rating': 'Not Rated', 'rate': '8.3', 'history_id': 11}
14-07-2023 10:51:14 :: ADD - {'position': '99', 'movie': 'M, o Vampiro de Dusseldorf', 'year': '1931', 'duration': '1h 57m', 'rating': '12', 'rate': '8.3', 'history_id': 11}
14-07-2023 10:51:14 :: ADD - {'position': '100', 'movie': 'Intriga Internacional', 'year': '1959', 'duration': '2h 16m', 'rating': '14', 'rate': '8.3', 'history_id': 11}
14-07-2023 10:51:14 :: ADD - {'position': '101', 'movie': 'Se Meu Apartamento Falasse', 'year': '1960', 'duration': '2h 5m', 'rating': 'Livre', 'rate': '8.3', 'history_id': 11}
14-07-2023 10:51:14 :: ADD - {'position': '102', 'movie': 'Um Corpo que Cai', 'year': '1958', 'duration': '2h 8m', 'rating': '14', 'rate': '8.3', 'history_id': 11}
14-07-2023 10:51:14 :: ADD - {'position': '103', 'movie': 'O Fabuloso Destino de Amélie Poulain', 'year': '2001', 'duration': '2h 2m', 'rating': '14', 'rate': '8.3', 'history_id': 11}
14-07-2023 10:51:14 :: ADD - {'position': '104', 'movie': 'Pacto de Sangue', 'year': '1944', 'duration': '1h 47m', 'rating': '14', 'rate': '8.3', 'history_id': 11}
14-07-2023 10:51:14 :: ADD - {'position': '105', 'movie': 'Laranja Mecânica', 'year': '1971', 'duration': '2h 16m', 'rating': '(Banned)', 'rate': '8.3', 'history_id': 11}
14-07-2023 10:51:14 :: ADD - {'position': '106', 'movie': 'Nascido para Matar', 'year': '1987', 'duration': '1h 56m', 'rating': '16', 'rate': '8.3', 'history_id': 11}
14-07-2023 10:51:14 :: ADD - {'position': '107', 'movie': 'Scarface', 'year': '1983', 'duration': '2h 50m', 'rating': '18', 'rate': '8.3', 'history_id': 11}
14-07-2023 10:51:15 :: ADD - {'position': '108', 'movie': 'Hamilton', 'year': '2020', 'duration': '2h 40m', 'rating': '12', 'rate': '8.3', 'history_id': 11}
14-07-2023 10:51:15 :: ADD - {'position': '109', 'movie': 'Incêndios', 'year': '2010', 'duration': '2h 11m', 'rating': '14', 'rate': '8.3', 'history_id': 11}
14-07-2023 10:51:15 :: ADD - {'position': '110', 'movie': 'Fogo Contra Fogo', 'year': '1995', 'duration': '2h 50m', 'rating': '14', 'rate': '8.3', 'history_id': 11}
14-07-2023 10:51:15 :: ADD - {'position': '111', 'movie': 'Up: Altas Aventuras', 'year': '2009', 'duration': '1h 36m', 'rating': 'Livre', 'rate': '8.3', 'history_id': 11}
14-07-2023 10:51:15 :: ADD - {'position': '112', 'movie': 'O Sol é para Todos', 'year': '1962', 'duration': '2h 9m', 'rating': '12', 'rate': '8.3', 'history_id': 11}
14-07-2023 10:51:15 :: ADD - {'position': '113', 'movie': 'Golpe de Mestre', 'year': '1973', 'duration': '2h 9m', 'rating': '18', 'rate': '8.3', 'history_id': 11}
14-07-2023 10:51:15 :: ADD - {'position': '114', 'movie': 'A Separação', 'year': '2011', 'duration': '2h 3m', 'rating': '12', 'rate': '8.3', 'history_id': 11}
14-07-2023 10:51:15 :: ADD - {'position': '115', 'movie': 'Indiana Jones e a Última Cruzada', 'year': '1989', 'duration': '2h 7m', 'rating': 'Livre', 'rate': '8.2', 'history_id': 11}
14-07-2023 10:51:15 :: ADD - {'position': '116', 'movie': 'Metrópolis', 'year': '1927', 'duration': '2h 33m', 'rating': 'Livre', 'rate': '8.3', 'history_id': 11}
14-07-2023 10:51:16 :: ADD - {'position': '117', 'movie': 'Duro de Matar', 'year': '1988', 'duration': '2h 12m', 'rating': '14', 'rate': '8.2', 'history_id': 11}
14-07-2023 10:51:16 :: ADD - {'position': '118', 'movie': 'Los Angeles: Cidade Proibida', 'year': '1997', 'duration': '2h 18m', 'rating': '18', 'rate': '8.2', 'history_id': 11}
14-07-2023 10:51:16 :: ADD - {'position': '119', 'movie': 'Snatch: Porcos e Diamantes', 'year': '2000', 'duration': '1h 44m', 'rating': '16', 'rate': '8.2', 'history_id': 11}
14-07-2023 10:51:16 :: ADD - {'position': '120', 'movie': 'Ladrões de Bicicletas', 'year': '1948', 'duration': '1h 29m', 'rating': '10', 'rate': '8.3', 'history_id': 11}
14-07-2023 10:51:16 :: ADD - {'position': '121', 'movie': 'Taxi Driver: Motorista de Táxi', 'year': '1976', 'duration': '1h 54m', 'rating': '14', 'rate': '8.2', 'history_id': 11}
14-07-2023 10:51:16 :: ADD - {'position': '122', 'movie': 'Como Estrelas na Terra', 'year': '2007', 'duration': '2h 45m', 'rating': 'Livre', 'rate': '8.3', 'history_id': 11}
14-07-2023 10:51:16 :: ADD - {'position': '123', 'movie': '1917', 'year': '2019', 'duration': '1h 59m', 'rating': '14', 'rate': '8.2', 'history_id': 11}
14-07-2023 10:51:16 :: ADD - {'position': '124', 'movie': 'Dangal', 'year': '2016', 'duration': '2h 41m', 'rating': '10', 'rate': '8.3', 'history_id': 11}
14-07-2023 10:51:16 :: ADD - {'position': '125', 'movie': 'A Queda! As Últimas Horas de Hitler', 'year': '2004', 'duration': '2h 36m', 'rating': '16', 'rate': '8.2', 'history_id': 11}
14-07-2023 10:51:16 :: ADD - {'position': '126', 'movie': 'Top Gun: Maverick', 'year': '2022', 'duration': '2h 10m', 'rating': '12', 'rate': '8.3', 'history_id': 11}
14-07-2023 10:51:17 :: ADD - {'position': '127', 'movie': 'Por uns Dólares a Mais', 'year': '1965', 'duration': '2h 12m', 'rating': '12', 'rate': '8.2', 'history_id': 11}
14-07-2023 10:51:17 :: ADD - {'position': '128', 'movie': 'Batman Begins', 'year': '2005', 'duration': '2h 20m', 'rating': '10', 'rate': '8.2', 'history_id': 11}
14-07-2023 10:51:17 :: ADD - {'position': '129', 'movie': 'O Garoto', 'year': '1921', 'duration': '1h 8m', 'rating': 'Livre', 'rate': '8.3', 'history_id': 11}
14-07-2023 10:51:17 :: ADD - {'position': '130', 'movie': 'Quanto Mais Quente Melhor', 'year': '1959', 'duration': '2h 1m', 'rating': 'Livre', 'rate': '8.2', 'history_id': 11}
14-07-2023 10:51:17 :: ADD - {'position': '131', 'movie': 'Meu Pai', 'year': '2020', 'duration': '1h 37m', 'rating': '12', 'rate': '8.2', 'history_id': 11}
14-07-2023 10:51:17 :: ADD - {'position': '132', 'movie': 'O Lobo de Wall Street', 'year': '2013', 'duration': '3h', 'rating': '18', 'rate': '8.2', 'history_id': 11}
14-07-2023 10:51:17 :: ADD - {'position': '133', 'movie': 'A Malvada', 'year': '1950', 'duration': '2h 18m', 'rating': 'Livre', 'rate': '8.2', 'history_id': 11}
14-07-2023 10:51:17 :: ADD - {'position': '134', 'movie': 'Green Book: O Guia', 'year': '2018', 'duration': '2h 10m', 'rating': '12', 'rate': '8.2', 'history_id': 11}
14-07-2023 10:51:17 :: ADD - {'position': '135', 'movie': 'Julgamento em Nuremberg', 'year': '1961', 'duration': '2h 59m', 'rating': 'Approved', 'rate': '8.3', 'history_id': 11}
14-07-2023 10:51:18 :: ADD - {'position': '136', 'movie': 'O Show de Truman: O Show da Vida', 'year': '1998', 'duration': '1h 43m', 'rating': '12', 'rate': '8.2', 'history_id': 11}
14-07-2023 10:51:18 :: ADD - {'position': '137', 'movie': 'Ran', 'year': '1985', 'duration': '2h 42m', 'rating': '16', 'rate': '8.2', 'history_id': 11}
14-07-2023 10:51:18 :: ADD - {'position': '138', 'movie': 'Cassino', 'year': '1995', 'duration': '2h 58m', 'rating': '18', 'rate': '8.2', 'history_id': 11}
14-07-2023 10:51:18 :: ADD - {'position': '139', 'movie': 'Sangue Negro', 'year': '2007', 'duration': '2h 38m', 'rating': '14', 'rate': '8.2', 'history_id': 11}
14-07-2023 10:51:18 :: ADD - {'position': '140', 'movie': 'O Labirinto do Fauno', 'year': '2006', 'duration': '1h 58m', 'rating': '16', 'rate': '8.2', 'history_id': 11}
14-07-2023 10:51:18 :: ADD - {'position': '141', 'movie': 'Ilha do Medo', 'year': '2010', 'duration': '2h 18m', 'rating': '16', 'rate': '8.2', 'history_id': 11}
14-07-2023 10:51:18 :: ADD - {'position': '142', 'movie': 'Os Imperdoáveis', 'year': '1992', 'duration': '2h 10m', 'rating': '12', 'rate': '8.2', 'history_id': 11}
14-07-2023 10:51:18 :: ADD - {'position': '143', 'movie': 'O Sexto Sentido', 'year': '1999', 'duration': '1h 47m', 'rating': '12', 'rate': '8.2', 'history_id': 11}
